2017-12-15-0-53-52    UserID [35]    Transaction Complete 
2017-12-15-0-53-52    UserID [25]    Transaction Complete 
2017-12-15-0-53-52    UserID [26]    Transaction Complete 
2017-12-15-0-53-52    UserID [7]    Transaction Complete 
2017-12-15-0-53-52    UserID [66]    Transaction Complete 
2017-12-15-0-53-52    UserID [5]    Transaction Complete 
2017-12-15-0-53-52    UserID [3]    Transaction Complete 
2017-12-15-0-53-52    UserID [9]    Transaction Complete 
2017-12-15-0-53-52    UserID [56]    Transaction Complete 
2017-12-15-0-53-52    UserID [69]    Transaction Complete 
2017-12-15-0-53-52    UserID [67]    Transaction Complete 
2017-12-15-0-53-52    UserID [11]    Transaction Complete 
2017-12-15-0-53-52    UserID [52]    Transaction Complete 
2017-12-15-0-53-52    UserID [34]    Transaction Complete 
2017-12-15-0-53-52    UserID [54]    Transaction Complete 
2017-12-15-0-53-52    UserID [40]    Transaction Complete 
2017-12-15-0-53-52    UserID [1]    Transaction Complete 
2017-12-15-0-53-52    UserID [10]    Transaction Complete 
2017-12-15-0-53-52    UserID [42]    Transaction Complete 
2017-12-15-0-53-52    UserID [64]    Transaction Complete 
2017-12-15-0-53-52    UserID [29]    Transaction Complete 
2017-12-15-0-53-52    UserID [50]    Transaction Complete 
2017-12-15-0-53-52    UserID [4]    Transaction Complete 
2017-12-15-0-53-52    UserID [19]    Transaction Complete 
2017-12-15-0-53-52    UserID [14]    Transaction Complete 
2017-12-15-0-53-52    UserID [58]    Transaction Complete 
2017-12-15-0-53-52    UserID [31]    Transaction Complete 
2017-12-15-0-53-52    UserID [68]    Transaction Complete 
2017-12-15-0-53-52    UserID [20]    Transaction Complete 
2017-12-15-0-53-52    UserID [55]    Transaction Complete 
2017-12-15-0-53-52    UserID [16]    Transaction Complete 
2017-12-15-0-53-52    UserID [39]    Transaction Complete 
2017-12-15-0-53-52    UserID [49]    Transaction Complete 
2017-12-15-0-53-52    UserID [13]    Transaction Complete 
2017-12-15-0-53-52    UserID [41]    Transaction Complete 
2017-12-15-0-53-52    UserID [65]    Transaction Complete 
2017-12-15-0-53-52    UserID [38]    Transaction Complete 
2017-12-15-0-53-52    UserID [63]    Transaction Complete 
2017-12-15-0-53-52    UserID [43]    Transaction Complete 
2017-12-15-0-53-52    UserID [21]    Transaction Complete 
2017-12-15-0-53-52    UserID [17]    Transaction Complete 
2017-12-15-0-53-52    UserID [46]    Transaction Complete 
2017-12-15-0-53-52    UserID [32]    Transaction Complete 
2017-12-15-0-53-52    UserID [6]    Transaction Complete 
2017-12-15-0-53-52    UserID [59]    Transaction Complete 
2017-12-15-0-53-52    UserID [61]    Transaction Complete 
2017-12-15-0-53-52    UserID [24]    Transaction Complete 
2017-12-15-0-53-52    UserID [53]    Transaction Complete 
2017-12-15-0-53-52    UserID [33]    Transaction Complete 
2017-12-15-0-53-52    UserID [30]    Transaction Complete 
2017-12-15-0-53-52    UserID [22]    Transaction Complete 
2017-12-15-0-53-52    UserID [60]    Transaction Complete 
2017-12-15-0-53-52    UserID [8]    Transaction Complete 
2017-12-15-0-53-52    UserID [23]    Transaction Complete 
2017-12-15-0-53-52    UserID [2]    Transaction Complete 
2017-12-15-0-53-52    UserID [51]    Transaction Complete 
2017-12-15-0-53-52    UserID [62]    Transaction Complete 
2017-12-15-0-53-52    UserID [44]    Transaction Complete 
2017-12-15-0-53-52    UserID [48]    Transaction Complete 
2017-12-15-0-53-52    UserID [37]    Transaction Complete 
2017-12-15-0-53-52    UserID [28]    Transaction Complete 
2017-12-15-0-53-52    UserID [45]    Transaction Complete 
